date,Open,High,Low,Close,Volume
2023-07-28 13:04:00,425.45,425.832,425.45,425.81,7413.0
2023-07-28 13:05:00,425.785,426.1,425.73,426.1,5302.0
2023-07-28 13:06:00,426.31,426.385,425.915,425.95,8949.0
2023-07-28 13:07:00,425.85,426.1,425.76,425.9,13746.0
2023-07-28 13:08:00,425.9,425.92,425.6,425.6,3835.0
2023-07-28 13:09:00,425.62,425.92,425.62,425.77,11810.0
2023-07-28 13:10:00,425.77,425.79,425.47,425.5,15596.0
2023-07-28 13:11:00,425.63,426.1,425.53,426.1,11180.0
2023-07-28 13:12:00,426.33,426.34,426.18,426.33,2331.0
2023-07-28 13:13:00,426.26,426.3,425.95,426.3,5050.0
2023-07-28 13:14:00,426.26,426.53,426.26,426.49,11066.0
2023-07-28 13:15:00,426.445,426.481,425.98,426.005,5137.0
2023-07-28 13:16:00,426.01,426.01,425.78,425.81,2972.0
2023-07-28 13:17:00,425.86,425.86,425.61,425.68,3046.0
2023-07-28 13:18:00,425.6,425.879,425.47,425.57,18202.0
2023-07-28 13:19:00,425.54,425.57,425.27,425.4,5384.0
2023-07-28 13:20:00,425.535,425.535,425.35,425.475,8332.0
2023-07-28 13:21:00,425.34,425.345,425.0,425.32,11139.0
2023-07-28 13:22:00,425.37,425.515,425.37,425.43,9457.0
2023-07-28 13:23:00,425.455,425.46,425.16,425.275,7111.0
2023-07-28 13:24:00,425.275,425.5,425.18,425.405,10422.0
2023-07-28 13:25:00,425.5,425.675,425.45,425.56,8428.0
2023-07-28 13:26:00,425.44,425.68,425.33,425.49,6717.0
2023-07-28 13:27:00,425.699,425.8,425.44,425.8,12825.0
2023-07-28 13:28:00,425.749,425.92,425.72,425.838,5346.0
2023-07-28 13:29:00,425.8,425.9,425.74,425.795,4159.0
2023-07-28 13:30:00,425.68,426.19,425.61,426.09,8966.0
2023-07-28 13:31:00,426.09,426.34,425.945,426.226,5543.0
2023-07-28 13:32:00,426.41,426.49,425.91,426.022,9414.0
2023-07-28 13:33:00,426.02,426.02,425.4,425.435,12880.0
2023-07-28 13:34:00,425.332,425.42,424.68,424.932,17471.0
2023-07-28 13:35:00,424.89,424.89,424.2,424.3,23022.0
2023-07-28 13:36:00,424.39,424.99,424.3,424.835,11464.0
2023-07-28 13:37:00,424.835,425.32,424.835,425.31,10743.0
2023-07-28 13:38:00,425.27,425.7,425.27,425.7,7736.0
2023-07-28 13:39:00,425.62,425.62,425.33,425.51,3106.0
2023-07-28 13:40:00,425.55,425.73,425.54,425.68,8319.0
2023-07-28 13:41:00,425.572,425.67,425.29,425.48,6412.0
2023-07-28 13:42:00,425.36,425.46,424.96,425.105,7492.0
2023-07-28 13:43:00,425.11,425.32,424.67,424.935,10109.0
2023-07-28 13:44:00,424.84,425.16,424.63,425.16,11031.0
2023-07-28 13:45:00,425.115,425.115,424.336,424.336,6089.0
2023-07-28 13:46:00,424.342,424.88,424.342,424.88,9632.0
2023-07-28 13:47:00,424.855,424.855,424.4,424.465,3713.0
2023-07-28 13:48:00,424.42,424.939,424.39,424.685,10949.0
2023-07-28 13:49:00,424.69,424.75,424.515,424.56,4551.0
2023-07-28 13:50:00,424.74,425.07,424.73,425.07,5719.0
2023-07-28 13:51:00,424.97,425.5,424.97,425.385,4997.0
2023-07-28 13:52:00,425.385,425.73,425.38,425.665,4631.0
2023-07-28 13:53:00,425.665,425.84,425.54,425.554,14972.0
2023-07-28 13:54:00,425.64,426.0,425.56,425.99,9788.0
2023-07-28 13:55:00,425.89,426.0,425.559,425.56,12753.0
2023-07-28 13:56:00,425.62,425.91,425.62,425.87,4062.0
2023-07-28 13:57:00,425.78,425.83,425.58,425.79,3431.0
2023-07-28 13:58:00,425.81,425.873,425.69,425.69,2494.0
2023-07-28 13:59:00,425.74,425.74,425.42,425.74,3244.0
2023-07-28 14:00:00,425.8,425.8,425.64,425.64,1687.0
2023-07-28 14:01:00,425.67,426.01,425.67,425.83,10419.0
2023-07-28 14:02:00,425.95,426.19,425.93,426.05,12705.0
2023-07-28 14:03:00,425.93,426.14,425.92,425.98,8668.0
2023-07-28 14:04:00,426.03,426.37,425.98,426.31,7126.0
2023-07-28 14:05:00,426.19,426.285,426.12,426.285,2467.0
2023-07-28 14:06:00,426.285,426.285,425.91,426.056,4127.0
2023-07-28 14:07:00,426.01,426.18,425.93,426.09,4807.0
2023-07-28 14:08:00,426.24,426.39,426.13,426.13,9173.0
2023-07-28 14:09:00,426.184,426.23,426.013,426.09,6055.0
2023-07-28 14:10:00,426.074,426.09,425.76,425.954,4106.0
2023-07-28 14:11:00,425.89,425.89,425.57,425.645,5503.0
2023-07-28 14:12:00,425.58,425.74,425.38,425.385,4732.0
2023-07-28 14:13:00,425.26,425.36,425.2,425.24,5805.0
2023-07-28 14:14:00,425.41,425.46,425.35,425.35,2721.0
2023-07-28 14:15:00,425.425,425.5,425.35,425.49,5152.0
2023-07-28 14:16:00,425.48,425.48,425.1,425.22,8592.0
2023-07-28 14:17:00,425.23,425.31,424.9,425.04,5599.0
2023-07-28 14:18:00,425.04,425.268,424.98,425.25,6111.0
2023-07-28 14:19:00,425.275,425.28,425.19,425.19,4082.0
2023-07-28 14:20:00,425.26,425.53,424.93,425.43,5526.0
2023-07-28 14:21:00,425.425,425.73,425.375,425.62,5881.0
2023-07-28 14:22:00,425.62,425.7,425.51,425.51,6952.0
2023-07-28 14:23:00,425.56,425.64,425.3,425.3,5714.0
2023-07-28 14:24:00,425.365,425.45,425.263,425.295,4007.0
2023-07-28 14:25:00,425.37,425.435,425.34,425.435,1917.0
2023-07-28 14:26:00,425.49,425.83,425.49,425.83,2721.0
2023-07-28 14:27:00,425.94,426.09,425.85,426.09,2925.0
2023-07-28 14:28:00,426.12,426.14,425.9,426.005,6775.0
2023-07-28 14:29:00,425.975,426.15,425.9,426.15,2451.0
2023-07-28 14:30:00,426.15,426.272,425.96,426.255,10399.0
2023-07-28 14:31:00,426.255,426.255,425.936,426.06,4781.0
2023-07-28 14:32:00,426.1,426.15,425.975,426.05,3905.0
2023-07-28 14:33:00,426.147,426.147,425.97,425.97,2263.0
2023-07-28 14:34:00,426.07,426.127,425.94,426.034,2419.0
2023-07-28 14:35:00,426.17,426.3,426.17,426.225,5319.0
2023-07-28 14:36:00,426.28,426.32,425.8,425.89,9638.0
2023-07-28 14:37:00,425.96,426.01,425.8,425.969,43822.0
2023-07-28 14:38:00,425.79,425.925,425.68,425.703,4772.0
2023-07-28 14:39:00,425.82,425.82,425.26,425.73,10996.0
2023-07-28 14:40:00,425.6,425.685,425.51,425.55,12009.0
2023-07-28 14:41:00,425.42,425.52,425.35,425.375,7326.0
